id,categoria_id,categoria_titulo,artigo_titulo,artigo_conteudo
"teste, conteudo, formatação",06_ferramentas,Ferramentas do Agente,nova rotina de formatação,"<p>novo sistema de inserção de conteúdos. sucesso na fonte de digitação e <b>negrito no editor</b>&nbsp;ativado, com atalho de teclado válido. <i>Italico disponivel</i><div><ul><li>e temos aqui\n</li><li>topicos\n</li><li>para listagem\n</li></ul></div></p>"
"teste de conteúdo, testeteste",06_ferramentas,Ferramentas do Agente,NOVA FERRAMENTA DE PREENCHIMENTO,"inserir os textos ficou mais fácil.. 

agora temos formatação automática por inteligência artificial. 

falta adicionar opções de negrito "
"Antecipação, contratar",01_antecipação,Antecipação,(temp) Pedidos de Antecipação Temporariamente Suspensos,"Informamos que, no momento, as antecipações e os pedidos de antecipação em andamento estão temporariamente suspensos.\nEsta pausa é necessária para podermos realizar adequações técnicas e preparar o aplicativo para futuras melhorias.\nAssim que o App for atualizado e este período de ajustes for concluído, a funcionalidade de antecipação será reativada. Você será notificado assim que for possível enviar um novo pedido.\nAgradecemos a sua compreensão enquanto trabalhamos para aprimorar sua experiência. Permanecemos à disposição para auxiliar no que for preciso.
"
"restituição, pagamento, data",01_antecipação,Antecipação,Restituição em lote anterior ao contrato,"<strong>Entendendo os Custos da Antecipação</strong><p>A antecipação da sua restituição de imposto de renda é contratada por um valor fixo, que já inclui os juros e taxas acordados no momento do serviço.</p><p>Isso ocorre porque, no momento da contratação, é impossível prever a data exata em que sua restituição estará disponível, tanto para você quanto para o Velotax. A data do seu lote de restituição não interfere no custo do serviço de antecipação, e a data constante na CCB é, por padrão, a data do último lote padrão previsto, para que todo o período de pagamento das restituições esteja coberto, e clientes dos últimos lotes não sejam considerados inadimplentes.&nbsp;</p><strong>Como quitar a Dívida</strong><p>Se você precisa quitar Antecipação 2025, o processo é simples e seguro! O botão de quitação aparece assim que você acessa a visualização desse ano.</p><strong>Passo a Passo</strong><p>Na tela inicial do aplicativo, você vê a seção Histórico.\nDentro do Histórico, toque no ano 2025.\nFeito isso, o botão Quitar Operação aparecerá. Toque nele para prosseguir.</p><strong>Verificação de Segurança</strong><p>Para sua segurança, após tocar em ""Quitar Operação"", faremos uma verificação em duas etapas:\nVocê terá a opção de escolher como quer receber o código de segurança:\nPor E-mail: o código será enviado para o e-mail cadastrado em sua conta.\nPor SMS: o código será enviado para o número de celular cadastrado.\nApós selecionar sua opção, insira o código recebido para finalizar a operação.</p>"
"pagamento, antecipação, portabilidade, negado, falha",01_antecipação,Antecipação,"Antecipação negada ao usuário: Oferta indisponível
","<p>As telas a seguir são apresentadas ao usuário que tenta a antecipação do IRPF, mas não terá o crédito disponibilizado pelos critérios do app.</p><p><strong>Ocorreu um erro, infelizmente não será possível seguir com a sua operação</strong>\nQuando a mensagem exibida é “ocorreu um erro, infelizmente não será possível seguir com a sua operação”, o cliente não tem oferta de antecipação disponível para aquisição no momento. [IMAGEM:1hjKY9xOulwsUxComEfeswfYmE4EGD9hk] </p><p><strong>Não será possível fazer a antecipação</strong>\nQuando o cliente visualiza a mensagem com a informação de que não será possível fazer a antecipação, ele deve ter sido reprovado em algum dos critérios de avaliação que o considerou inapto. No entanto, se ele não tem acesso a outras telas clicando na seta do canto superior esquerdo ou no botão continuar, o problema pode estar relacionado ao cachê. Oriente a limpeza dos dados do app antes de prosseguir. [IMAGEM:10HvXXCy8hI_yOM1amIDMcY1ObXbygoj1] </p><p><strong>Limite inadequado</strong>\nSe o cliente recebeu a mensagem sobre o limite inadequado, ele não atingiu o valor mínimo de restituição para antecipar, ou extrapolou o valor máximo. </p>[IMAGEM:1d5srs1Jx3FCIOd2YQhHoHkCPl0UTTMMB]"
"restituição, pagamento, data, pix, antecipação",01_antecipação,Antecipação,Posso usar qualquer chave pix para antecipação?,"<p>Não. Apenas a chave PIX que utiliza seu CPF poderá ser utilizada na conta Velobank para o processo de antecipação, ou cobrança retida da taxa de uso do app.&nbsp;</p><p>Essa limitação ocorre por razão de segurança e garantia de que nenhum terceiro efetue operações de crédito em seu nome.&nbsp;</p><p>Da mesma forma, isso garante que não haja algum equívoco em relação ao direcionamento da restituição no lote da Receita que impeça a quitação do crédito gerado para a Antecipação.</p>"
"pagamento, data, pix, antecipação, portabilidade",01_antecipação,Antecipação,Posso retirar minha chave Pix do Velobank a qualquer momento?,"<p>A portabilidade da chave PIX para uma instituição de sua escolha é um direito do cidadão, e o Velotax assegura isso a todos os seus usuários.&nbsp;</p><p>Ao contratar o serviço e concordar com os termos, o cliente declara estar ciente de que sua chave PIX vinculada ao CPF será associada ao Velobank até a quitação da Antecipação, que ocorre com o depósito da Restituição pela Receita Federal na data do seu lote.&nbsp;</p><p>Caso o usuário opte por trocar de instituição antes da data da restituição, isso será considerado uma quebra de contrato. Consequentemente, será necessário efetuar o pagamento imediato e integral do valor devido, sem a possibilidade de descontos ou renegociações.&nbsp;</p><p>Se você deseja prosseguir com a portabilidade da chave PIX, basta entrar em contato com nosso atendimento e solicitar.&nbsp;</p>"
"Px, Portabilidade, remover",01_antecipação,Antecipação,Portabilidade Pix: Passo a Passo,"<strong>Passo a passo para solicitar a portabilidade da chave PIX (CPF)</strong><p>1️⃣ Cadastre sua chave PIX (CPF) no banco de sua preferência.\n2️⃣ O banco enviará um pedido de portabilidade da chave que está no Velotax.\n3️⃣ Acesse o app Velotax.\n4️⃣ Vá em Minha Área PIX > Minhas chaves PIX.\n5️⃣ Ao lado do seu CPF, aparecerá a opção “Portabilidade”.\n6️⃣ Clique em ""Aceito"" para confirmar.</p><p>✅ Pronto! Sua chave PIX será transferida de volta para o seu banco.</p>"
"Restituição, Declaração, não creditada,",02_restituição,Restituição e Declaração,Restituição não Creditada,"<p>Se você está cadastrado para receber no primeiro lote da restituição do Imposto de Renda de 30/05/2025 e ainda não visualizou o crédito no app Velotax, fique tranquilo. Alguns clientes não receberam e o valor ficou disponível para resgate manual no site do Banco do Brasil.</p><p>Siga o passo a passo abaixo para solicitar o valor:</p><strong>🟡 Etapa 1: Como solicitar o resgate da restituição</strong><p>Acesse o site oficial do Banco do Brasil:\n<a href=""https://www49.bb.com.br/restituicao/#/pagina-inicial"" target=""_blank"">https://www49.bb.com.br/restituicao/#/pagina-inicial</a><br>Preencha os campos solicitados:\nCPF\nValor da restituição\nMarque a caixa ""Não sou um robô""\nClique em ""Confirmar""\nClique no botão verde que aparecerá na tela (Ação)\nEscolha o banco de sua preferência e informe os dados da sua conta.\nNo campo “Número do recibo da declaração”, insira o número que está no seu recibo de entrega da declaração IRPF 2024.\nClique em ""Agendar crédito"".</p><p>Para encontrar esse número:\nAbra o app Velotax\nVá em “Meus Documentos”\nSelecione o ano 2025\nClique em “Recibo da Declaração”\nO número estará destacado na segunda página do documento.</p><strong>🟢 Etapa 2: Como quitar sua antecipação no app Velotax</strong><p>Assim que o valor for creditado, você poderá fazer a quitação da antecipação diretamente no aplicativo Velotax.</p><p>Vá ao seu banco e cadastre sua chave PIX (CPF).\nO banco enviará um pedido de portabilidade da chave para o Velotax.</p><p>Acesse o app Velotax:\nVá em ""Minha Área PIX"" > ""Minhas chaves PIX""\nAo lado do seu CPF, aparecerá a palavra “Portabilidade”\nClique nessa opção e siga as instruções na tela.\nAo final do processo, você verá as opções para quitação: Pix ou Cartão de crédito</p><p>Após o pagamento, o contrato será considerado quitado e sua chave PIX estará vinculada no seu banco.</p><p>Se tiver dúvidas durante qualquer etapa, nossa equipe está à disposição para te ajudar!</p>"
teste de update,03_Calculadora e Darf,Calculadora,teste,teste teste teste 
"conta, excluir, deletar",04_Conta,Conta e Planos,Excluir conta Velotax pelo app,"<strong>Para excluir a conta no Velotax, acessando pelo app, siga os passos abaixo:</strong><p>Acesse o aplicativo Velotax. Na tela inicial, clique no ícone do Perfil (canto superior esquerdo) e selecione a opção DARF.</p><p>No canto superior direito da tela, clique no menu de opções, indicado por 3 linhas horizontais.</p><p>Role o menu até o final para localizar a opção Conta.</p><p>Rolando a tela até o final. No canto inferior direito, localize e selecione a opção ""Excluir Conta"".</p><p>A tela seguinte apresentará a solicitação de confirmação, para a qual o usuário deverá digitar a palavra DELETAR no campo solicitado.</p>"
"procuração, autorização, dados, compartilhamento",04_Conta,Conta e Planos,Entendendo sua Procuração Eletrônica Velotax,"Para executar os serviços que você contratou, como declarar seu IR ou regularizar um imposto, precisamos de uma autorização para acessar seus dados na Receita Federal. A procuração eletrônica no portal e-CAC é a forma oficial e segura de conceder essa permissão.
É com ela que conseguimos, por exemplo:\nEnviar e acompanhar sua declaração de Imposto de Renda.\nAjudar você a resolver pendências e sair da malha fina.\nCalcular e emitir seus impostos (Carnê-Leão e renda variável).\nRealizar os processos para sua restituição.
Você no controle, sempre!
A procuração é sua e você tem total liberdade. A qualquer momento, você pode:
Ajustar os poderes: Limitar as permissões só para os serviços que usa.\nMudar o prazo: Reduzir o tempo de validade da autorização.\nCancelar: Revogar a procuração por completo.
Tudo isso é feito diretamente por você no portal e-CAC da Receita Federal. Recomendamos manter a procuração ativa para garantir a continuidade dos serviços contratados, mas a decisão final é sempre sua.
"
"procuração, autorização, dados, compartilhamento",04_Conta,Conta e Planos,Procuração: Poderes e prazos,"<strong>Quais são os poderes concedidos?</strong><p>A autorização nos permite executar serviços específicos, como:\n✅ Transmitir e acompanhar a declaração do IRPF.\n✅ Corrigir pendências e resolver problemas de malha fina.\n✅ Solicitar e acompanhar restituições.\n✅ Calcular e emitir DARFs (Carnê-Leão e renda variável).\n✅ Pedir a restituição de impostos pagos a mais (PER/DCOMP).\n✅ Solicitar parcelamento de débitos na Receita.\n✅ Falar com a Receita Federal em seu nome para resolver questões pontuais.\nLembre-se: você pode personalizar essas permissões no portal e-CAC quando quiser.</p><p><strong>Por que o prazo de 5 anos?</strong>\nSugerimos o prazo de 5 anos porque é o mesmo período que a Receita Federal tem para fiscalizar suas declarações passadas.\nIsso nos permite dar o suporte necessário caso uma pendência (como a malha fina) apareça anos depois do envio da sua declaração. Se preferir, você também pode reduzir este prazo diretamente no e-CAC.</p>"
"procuração, autorização, dados, compartilhamento",04_Conta,Conta e Planos,Criando sua conta Velotax,"<p>Ao acessar o app pela primeira vez o usuário precisará realizar o cadastro e assinar as procurações eletrônicas autorizações de tráfego de dados.\nO início se dá com o preenchimento de dados cadastrais: CPF, número do celular onde está instalado o app, e confirmação do código enviado por sms.</p><p>Na sequência, será solicitado o cadastro de uma conta de e-mail. Aconselhamos o usuário a inserir uma conta de uso constante, pois informações importantes serão enviadas por ali. Depois, nome completo e criação da senha. Na tela a seguir o usuário declara que concorda com os diversos termos de uso da plataforma. Todos eles podem ser acessados em cada link nessa tela, como você pode ver na imagem a seguir. Ao clicar continuar, ele automaticamente concordou com os termos.</p><p>Será solicitado o cadastro de uma conta de e-mail. Aconselhamos o usuário a inserir uma conta de uso constante, pois informações importantes serão enviadas por ali. Na sequência, nome completo e criação da senha. A senha será aceita quando todos os critérios na tela tiverem sido atendidos. Na tela a seguir o usuário declara que concorda com os diversos termos de uso da plataforma. Todos eles podem ser acessados em cada link nessa tela. Ao clicar continuar, ele concordou automaticamente com os termos.\n[IMAGEM:145NqllrAft00cwrwH0wgSdVZ2LuvXoB-]
\nAs próximas telas te dirão tudo o que você precisa saber sobre o compartilhamento de dados com o Velotax. Processo em detalhes no tópico referente.</p>"
"procuração, autorização, dados, compartilhamento",04_Conta,Conta e Planos,Aceitar as Procurações,"<p>As telas a seguir explicam todos os pontos relacionados às procurações e autorizações que o usuário precisa aprovar para continuar o cadastro e iniciar a utilização do serviço. Cada um dos tópicos expande com as explicações daquele item quando usuário clicar na seta. A última das telas tem os termos de serviço para conferência pelo cliente. Basta clicar no link para ser direcionado.</p><p>[IMAGEM:1BCEyfjVsnJnxhm0YlKVNVhwQtkW46KOR]\nClicando no botão inferior você será direcionado ao portal e-CAC, onde poderá conferir e aprovar as procurações.\nFaça o login com seu cpf e sua senha gov, e você será direcionado a uma tela com os itens que serão associados assinalados em tela, e você pode conferir diretamente nessa tela do gov quais a informações que serão autorizadas a compartilhamento. Assinale o CAPTCHA ao final da tela e clique em Cadastrar Procuração. A procuração será gerada e mostrada na tela. Clique em Assinar. Se sua verificação em duas etapas estiver ativada, você receberá um código por SMS ou notificação diretamente no app do GOV, dependendo das configurações desse usuário.\nApós as autorizações, haverá uma série de telas confirmando as autorizações do compartilhamento de dados. Essa tela também solicitará o código se a autorização em 2 fatores estiver ativada. Após o carregamento dos dados ocorrerá o acesso à tela inicial do app Velotax e dos serviços disponíveis.\n[IMAGEM:1uuhlzGrZEF_8uqQX2O6_m5w0mBEh2sIu]</p>"
"pix, celcoin, remover, chave",04_Conta,Conta e Planos,Posso remover a chave pix da Celcoin?,"<p>A portabilidade da chave PIX para uma instituição de sua escolha é um direito do cidadão e assegurado pelo Velotax a todos os seus usuários.&nbsp;</p><p>O cliente que leu e concordou com os termos, e efetuou a contratação do serviço, declarou estar ciente de que sua chave PIX associada ao CPF seria trazida e associada ao Velobank até que fosse realizada a quitação da Antecipação, pelo depósito da Restituição pela Receita Federal ao chegar a data do seu lote.&nbsp;</p><p>O usuário que decidir trocar de instituição antes da data da restituição estará efetuando uma quebra de contrato e&nbsp; terá, por isso, que efetuar o pagamento imediato e integral do valor devido, sem descontos ou renegociações.&nbsp;</p><p>Se você deseja prosseguir com a portabilidade da chave PIX, basta entrar em contato com nosso atendimento e solicitar.&nbsp;</p>"
"planos, calculadora, contratar, valores, incluso",04_Conta,Conta e Planos,Quais os planos e como contratar,"<strong>Os planos da Calculadora de DARF Mensal do Velotax são:</strong><p><strong>Velotax Basic</strong>, que inclui os cálculos automáticos de IR e a capacidade de emissão de DARF do mês corrente;\n<strong>Velotax Premium</strong>, que inclui os benefícios do Basic, e mais DARFs retroativos ilimitados, carteira de investimentos atualizada, notificações de dividendos e isentômetro de impostos;\n<strong>Velotax Concierge</strong>, Inclui tudo que faz parte do Velotax Premium, e mais o especialista dedicado para você, contato por WhatsApp exclusivo, DARFs revisadas por profissional e garantia contra malha fina.</p><p>Para contratar, clique no botão Plano, ao lado esquerdo da tela do site ou na aba de opções do app.</p>
[IMAGEM:173nyJZ0_1NhTGua5E2nfdDYeVIPMz71H]
<p>Os planos têm vigência de 1 ano e podem ser contratados parceladamente, em 12 vezes no cartão de crédito, ou com pagamento à vista do valor anual através do PIX. Os valores poderão ser verificados diretamente na tela de seleção do plano, para que você compare os valores e escolha a opção que mais se encaixa para você!</p><p>Basta selecionar o plano desejado, escolher a forma de pagamento disponível (PIX ou Cartão de Crédito) e após o pagamento, será encaminhado um e-mail com a confirmação do plano ativo.</p><p><strong>Importante</strong>: Não há modalidades de contratação mensal ou avulsa disponíveis.</p>"
"planos, calculadora, contratar, valores, incluso",04_Conta,Conta e Planos,"Planos contratados via parceria","<p>O Velotax oferece condições especiais para clientes que contratarem seus serviços através das corretoras de investimento parceiras, que utilizam o Velotax como sua calculadora de impostos.</p><p>Ao contratar um plano por meio de uma empresa parceira, o acesso ficará restrito à plataforma dedicada da parceira utilizada para a contratação, não incluindo as funcionalidades do plano pago na página do Velotax (<a href=""https://www.velotax.com.br"" target=""_blank"">velotax.com.br</a>) ou de outras parceiras. Além disso, o registro de cálculos, histórico de pagamentos de DARF e dados de integração das operações da plataforma parceira não serão compartilhados com outras plataformas cujos serviços não tenham sido contratados.</p><p>Caso opte por contratar o plano diretamente pela nossa plataforma (<a href=""https://www.velotax.com.br"" target=""_blank"">velotax.com.br</a>), você terá acesso simultâneo às funcionalidades das corretoras parceiras através da integração.</p>"
"POP, reagendamento, restituição, banco do brasil",05_POP,POPs B2C,Agendamento de Restituição ,"<p>No processo de agendamento da restituição, é **obrigatório confirmar em linha com o cliente todos os dados da conta bancária** antes de seguir com o agendamento e o envio do print. Essa validação é essencial para evitar erros e retrabalho.</p><p>⚠️ Caso o cliente perceba que informou uma conta errada após o agendamento, orientamos da seguinte forma:</p><p>“Informamos que o valor da restituição só pode ser depositado em uma conta da mesma titularidade do contribuinte.</p><p>Se a conta informada não for do mesmo titular, o valor retornará automaticamente ao Banco do Brasil, e será necessário realizar um novo agendamento.”</p><p>Caso haja erro e o cliente perceba no mesmo dia, nós podemos cancelar o agendamento na mesma página.</p>
<p><strong>Tabulação Octadesk:</strong></p><p>Categoria de assunto: <strong>IRPF e Restituição</strong><br>Motivo IRPF: <strong>Restituição</strong><br>Detalhe IRPF: <strong>Situação de Pagamento</strong></p>
"
"POP, pix, engano, erro, envio errado, chave errada",05_POP,POPs B2C,Envio de pix errado,"<p>Em casos de Pix feito por engano, se a transferência foi realizada para uma chave do tipo **número de telefone**, é possível tentar contato diretamente com esse número e solicitar a devolução.</p><p>Caso tenha sido utilizada uma chave **CPF, e-mail ou aleatória**, orientamos que entre em contato com a instituição financeira que recebeu o valor, para verificar as possibilidades de reversão.</p><p>---</p><p><strong>Tabulação Octadesk:</strong></p><p>Categoria de assunto: <strong>IRPF e Restituição</strong><br>Motivo IRPF: <strong>Velobank</strong><br>Detalhe IRPF: <strong>PIX - Transferência Incorreta</strong></p>"
"POP, bloqueio, conta bloqueada",05_POP,POPs B2C,Casos de Bloqueio Judicial,"<p>Sempre que um cliente relatar o não recebimento de valores e, após análise, for identificado um bloqueio judicial sobre a conta ou o valor, o padrão de atendimento será como a seguir:</p><p>Utilizar a **Macro: Conta com bloqueio judicial**</p><p>O que a macro comunica: A macro informa que a conta ou valor está bloqueado por ordem judicial, reforça que não há relação com a Velotax, e orienta o cliente a verificar o processo diretamente com o órgão responsável.</p><p>⚠️ **Orientações importantes:**</p><p>Utilizem exclusivamente a macro (personalizando conforme a solicitação do cliente).<br>O extrato da movimentação deve ser enviado sempre nesses casos, mesmo que o cliente não solicite. Ele traz o número do processo e serve como documento de apoio para consulta junto ao órgão judicial.<br>Para verificar se há bloqueio judicial na conta ou no valor, é necessário consultar o time de Produto.<br>Em caso de dúvidas ou exceções, consultem o Emerson</p>"
"POP, ouvidoria, escalação, workflow",05_POP,POPs B2C,Escalação Casos Especiais,"<p>O campo **ESCALAR CHAMADO** conta com a posição **Casos Especiais – Ouvidoria**.</p><p>Essa posição deve ser utilizada sempre que lidarmos com situações que exijam atendimento mais especializado, como:</p><ul><li>Portabilidade da chave PIX</li><li>Amortização de juros</li><li>Casos de atrito com reclamação no BaCen ou ameaça de judicialização</li></ul><p>É importante reforçar que atenderemos aos pedidos de portabilidade do PIX e não iremos segurar chave PIX de ninguém. Se o cliente mencionar em linha ou ticket que quer a chave PIX de volta e ainda não tiver feito o pagamento, em 100% dos casos deverá ocorrer a escalação.&nbsp;</p><p>Deve-se explicar a regra, dizer ao cliente que durante a contratação ele concordou em manter o PIX com a gente até pagamento, mas será enviado à ouvidoria para análise.&nbsp;</p><p>Casos com a Antecipação já paga, ou nem ocorreu contratação, mas está com a chave com a Celcoin: embora não deva ser enviado para casos especiais, nós devemos resolver.&nbsp;</p><p>Caso o cliente apresente dificuldade de fazer a portabilidade, deve-se auxiliar no passo a passo da retirada e, se não der certo, a equipe de Produtos deverá ser acionada para exclusão da chave.</p>"
"POP, meus tickets, controle, lista",05_POP,POPs B2C,Lista Meus Tickets - Controle,"<p>Para todos os agentes, deverá ser criada uma pasta de acompanhamento e controle dos tickets em tratamento. Se você ainda não tem a pasta personalizada configurada, basta procurar o administrador para que seja criada.&nbsp;</p><p>A função e uso da mesma poderá ser vista no vídeo a seguir! <a href=""https://www.youtube.com/watch?v=XhWLMd7uraU"" target=""_blank"">https://www.youtube.com/watch?v=XhWLMd7uraU</a></p>"
"POP, tickets, controle, lista",05_POP,POPs B2C,Status de Tickets,"<p>É importante que os **status de situação do ticket** sejam selecionados da maneira correta. Entender o que cada um indica e quais as ações provocadas por eles é fundamental.</p><p><strong>Novo:</strong></p><p>O ticket com status **novo** não passou por nenhuma alteração relevante ou tratamento efetivo.</p><p><strong>Em Andamento:</strong></p><p>Esse status será utilizado quando:<br>Chamados já estão passando por alterações e tratamento está sendo encaminhado<br>Chamado está transitando por algum workflow (Financeiro, Suporte N2 ou qualquer similar)<br>Última atualização do chamado foi por parte do Solicitante e ação do agente é necessária.</p><p><strong>Pendente:</strong></p><p>O status **pendente** determina que alguma ação é esperada por parte do Solicitante. Nesse caso, o ticket será posicionado como Pendente e inicia-se uma contagem de tempo para esse retorno. Dentro de 24h o solicitante receberá um lembrete de que uma ação é necessária. Ao se atingir as 24h consecutivas (total de 48h) ele será notificado que o ticket foi considerado abandonado e será fechado.</p><p><strong>Resolvido:</strong></p><p>Depois de toda ação decisiva do agente, ou do final de qualquer processo, o ticket será posicionado no status **Resolvido**. Caso o cliente responda ou retorne com mais informações ou novas situações, o ticket será reaberto no status Em Andamento.</p><p><strong>Cancelado:</strong></p><p>Status utilizado para tickets de teste ou spam, que não deverão figurar nas estatísticas de atendimento.</p><p><strong>Não deixar ticket em andamento/pendente sem justificativa</strong><br>Se não houver solicitação adicional por parte do cliente ou necessidade de retorno futuro, o ticket deve ser resolvido com a devolutiva apropriada.</p><p>📌 Tickets deixados abertos sem justificativa atrapalham o controle de SLA e podem gerar confusão na priorização.</p>"
"POP, tickets, controle, lista",05_POP,POPs B2C,Boas Práticas de Tratamento do Ticket,"<p>🔎 <strong>1. Verificação correta de tickets anteriores</strong><br>Durante o atendimento, não se limitem ao atalho do “bonequinho” no canto superior direito da tela, pois ele só retorna os tickets associados a um e-mail específico, para consultar o histórico do cliente.</p><p>✅ Façam também a verificação na seção “<strong>Informações do Cliente</strong>”, onde ficam centralizados os atendimentos anteriores.<br>✅ E, na busca no canto superior esquerdo, selecionem “<strong>CPF do titular</strong>” no primeiro campo e insiram o CPF do cliente no campo à direita.</p><p><strong>Anotações Internas</strong></p><p>Todas as informações relevantes de um atendimento, principalmente nos casos atendidos por central telefônica, devem obrigatoriamente ser registradas na anotação interna. Essa etapa é fundamental e garante:</p><p><strong>Coerência no atendimento:</strong> Clientes que não estejam sendo atendidos pela primeira vez terão essas informações acessíveis ao agente que os atende no momento, aumentando a coesão do time.<br><strong>Maior fluidez de tratamento:</strong> Tickets devidamente detalhados dispensam retornos e conferências por times de N2, garantindo que o time responsável possa fazer a análise adequada e tomar as providências necessárias com agilidade.</p><p>Além disso, destacamos que:</p><p>🔹 A anotação interna deve ser utilizada em todos os atendimentos, sempre que houver detalhes relevantes ou contexto que precisam ser mantidos no histórico do cliente.<br>🔹 Um bom uso da anotação contribui diretamente para a continuidade do atendimento, evita retrabalho e garante transparência entre o time.</p>"
